Neighborhood,Latitude,Longitude
Fort Stanton,38.85565773,-76.98034771
Congress Heights,38.84107731,-76.99794993
Washington Highlands,38.83023741,-76.99563621
Bellevue,38.82695245,-77.00927076
Knox Hill/Buena Vista,38.85368806,-76.96766003
Shipley,38.84686013,-76.97290234
Douglass,38.84757145,-76.97964457
Woodland,38.85655424,-76.97392561
Garfield Heights,38.85408512,-76.97221327
Near Southeast,38.87838447,-77.00062711
Capitol Hill,38.88362076,-76.99847748
Dupont Park,38.87263041,-76.96281843
Twining,38.87558791,-76.96084721
Randle Highlands,38.86933565,-76.96580364
Fairlawn,38.8691585,-76.97745178
Penn Branch,38.86956018,-76.95342386
Barry Farm,38.85925526,-76.99728051
Historic Anacostia,38.86318571,-76.98467764
Columbia Heights,38.92800829,-77.03058603
Logan Circle/Shaw,38.90981631,-77.02534038
Cardozo/Shaw,38.9171683,-77.02755011
Van Ness,38.94339058,-77.06610638
Forest Hills,38.94689272,-77.05846164
Georgetown Reservoir,38.90963713,-77.09067742
Foxhall Village,38.91324713,-77.08440713
Fort Totten,38.94942994,-77.00812809
Pleasant Hill,38.94107919,-77.00480355
Kenilworth,38.91067876,-76.93858599
Eastland Gardens,38.9053294,-76.94307039
Deanwood,38.90410727,-76.93280089
Fort Dupont,38.8860167,-76.95068459
Greenway,38.88478751,-76.96018093
Woodland-Normanstone,38.92285,-77.06075347
Mass. Ave. Heights,38.92539876,-77.07007462
Naylor Gardens,38.85672443,-76.96304603
Pleasant Plains,38.92947297,-77.023101
Hillsdale,38.85842336,-76.99056102
Benning Ridge,38.8811615,-76.93820271
Penn Quarter,38.89537045,-77.02218065
Chinatown,38.8991512,-77.02013527
Stronghold,38.92577558,-77.00776741
South Central,38.92398546,-76.96504312
Langston,38.90133626,-76.97236709
Downtown East,38.89542816,-77.01423369
North Portal Estates,38.99176498,-77.04087665
Colonial Village,38.98678956,-77.04109381
Shepherd Park,38.98298005,-77.03212571
Takoma,38.9764616,-77.0215583
Lamond Riggs,38.96506973,-77.00644505
Petworth,38.94303913,-77.02401733
Brightwood Park,38.95574765,-77.02487139
Manor Park,38.96206164,-77.01265712
Brightwood,38.96637934,-77.02687431
Hawthorne,38.98088256,-77.05593445
Barnaby Woods,38.97543344,-77.06017448
Queens Chapel,38.95607002,-76.99659057
Michigan Park,38.94693414,-76.98377196
North Michigan Park,38.94564416,-76.99366629
Woodridge,38.93402103,-76.96863953
University Heights,38.93824876,-76.9957615
Brookland,38.93140439,-76.98441359
Edgewood,38.92519887,-77.00073929
Skyland,38.86026696,-76.97170298
Bloomingdale,38.91822643,-77.01115934
Lincoln Park,38.8872107,-76.98970996
16th Street Heights,38.95031455,-77.03355856
Fort Lincoln,38.92360981,-76.95474878
Gateway,38.91975683,-76.96384571
Langdon,38.92401696,-76.97468946
Brentwood,38.91897728,-76.98703522
Eckington,38.91520184,-77.00042543
Truxton Circle,38.90966731,-77.01239416
Ivy City,38.91038948,-76.99162689
Trinidad,38.90846246,-76.98273699
Arboretum,38.91485976,-76.97248975
Carver,38.90246526,-76.97784979
Mount Vernon Triangle,38.90241699,-77.01687926
North Capitol Street,38.90253216,-77.01127535
Downtown,38.90052615,-77.02917452
Connecticut Avenue/K Street,38.90295185,-77.04113386
George Washington University,38.89962774,-77.04792844
Foggy Bottom,38.89902171,-77.05243626
West End,38.90555034,-77.05188247
Monumental Core,38.88446306,-77.03733448
Georgetown,38.90955581,-77.0647956
Burleith/Hillandale,38.91500299,-77.07456576
Southwest Employment Area,38.88501657,-77.02031687
Southwest/Waterfront,38.87790836,-77.01690296
Buzzard Point,38.86830012,-77.01142455
Fort McNair,38.86694332,-77.0164381
Chevy Chase,38.96314647,-77.06647761
Friendship Heights,38.95690678,-77.08385441
North Cleveland Park,38.94787867,-77.07177356
Tenleytown,38.9471274,-77.08016309
American University Park,38.94761164,-77.09024957
Spring Valley,38.93931138,-77.09672424
Cathedral Heights,38.93427242,-77.07986043
McLean Gardens,38.93615125,-77.07529572
Cleveland Park,38.93609787,-77.06440174
Woodley Park,38.92726532,-77.05748295
Glover Park,38.92153082,-77.07573752
Wesley Heights,38.92998082,-77.08832491
Foxhall Crescents,38.9204865,-77.09276674
Palisades,38.92980767,-77.10352038
Kalorama Heights,38.91566044,-77.05119471
Adams Morgan,38.9204722,-77.04239111
Dupont Circle,38.9121281,-77.0409837
Lanier Heights,38.92524883,-77.04269355
Mount Pleasant,38.93174149,-77.04065589
Park View,38.93460426,-77.02144427
Le Droit Park,38.9168316,-77.01760455
Howard University,38.92235482,-77.01961027
Near Northeast,38.90237479,-76.99973389
Stanton Park,38.89489782,-76.99424171
Kingman Park,38.89488657,-76.97843658
Hill East,38.88333,-76.97995066
Navy Yard,38.87426841,-76.99846165
Mayfair,38.90111564,-76.95129459
River Terrace,38.89370455,-76.95768066
Burrville,38.90024299,-76.92180247
NE Boundary,38.89545082,-76.91738943
Benning,38.8918849,-76.94888362
Grant Park,38.8927065,-76.92063844
Central NE,38.89703455,-76.94227676
Lincoln Heights,38.89580517,-76.93109656
Capitol View,38.88997845,-76.92708591
Marshall Heights,38.88437194,-76.92912172
Fort Davis Park,38.86890119,-76.94466984
Fairfax Village,38.86345267,-76.95163007
Hillcrest,38.86179449,-76.96068825
Crestwood,38.94332711,-77.04109689
Mount Vernon Square,38.90433981,-77.02331348
